date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:32:05	114280/114280	---M--	200	added ('OK')	application/font-woff	etag:%221be68-5eff5831cb784%22	http://dashunfur.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff?5.16.0	C:/My%20Web%20Sites/dashunfur.local%20wordpress/dasgun/dashunfur.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1075.woff	(from http://dashunfur.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0)
16:32:05	76764/76764	---M--	200	added ('OK')	text/html	etag:%2212bdc-5eff5831e3936%22	http://dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/dashunfur.local%20wordpress/dasgun/dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.html	(from http://dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.9.1)
16:32:08	231350/231350	---M--	200	added ('OK')	image/jpeg	etag:%22387b6-5f00cb4cbf322%22	http://dashunfur.com/wp-content/uploads/2022/12/3-1.jpg	C:/My%20Web%20Sites/dashunfur.local%20wordpress/dasgun/dashunfur.com/wp-content/uploads/2022/12/3-1.jpg	(from http://dashunfur.com/)
16:32:13	134346/134346	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2220cca-5eff5831dfe33%22	http://dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/dashunfur.local%20wordpress/dasgun/dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	(from http://dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.9.1)
16:32:20	211640/211640	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2233ab8-5eff5831cac86%22	http://dashunfur.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.16.0	C:/My%20Web%20Sites/dashunfur.local%20wordpress/dasgun/dashunfur.com/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons1075.eot	(from http://dashunfur.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.16.0)
16:32:21	747545/747545	---M--	200	added ('OK')	image/svg+xml	etag:%22b6819-5eff5831e02ab%22	http://dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/dashunfur.local%20wordpress/dasgun/dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.svg	(from http://dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.9.1)
16:32:24	90060/90060	---M--	200	added ('OK')	application/font-woff	etag:%2215fcc-5eff5831e299f%22	http://dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/dashunfur.local%20wordpress/dasgun/dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.woff	(from http://dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.9.1)
16:32:27	34034/34034	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2284f2-5eff5831e3936%22	http://dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/dashunfur.local%20wordpress/dasgun/dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot	(from http://dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.9.1)
16:32:29	134346/134346	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2220cca-5eff5831dfe33%22	http://dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/dashunfur.local%20wordpress/dasgun/dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400d41d.eot	(from http://dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.9.1)
16:32:30	34034/34034	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2284f2-5eff5831e3936%22	http://dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/dashunfur.local%20wordpress/dasgun/dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400d41d.eot	(from http://dashunfur.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.9.1)
